Date,Away Team,Away Score,Home Team,Home Score
2017-08-24,pikeville,14,campbellsville,28
2017-08-24,warner u.,7,cumberlands ky,23
2017-08-24,dakota wesleyan,39,dakota st,56
2017-08-24,rocky mountain,28,dickinson st,43
2017-08-24,evangel,17,grand view,37
2017-08-26,william penn,27,baker,31
2017-08-26,missouri valley,17,benedictine ks,42
2017-08-26,edward waters,13,bethel tn,19
2017-08-26,portland st,6,brigham young,20
2017-08-26,colgate,20,cal poly slo,14
2017-08-26,culver-stockton,0,central methodist,31
2017-08-26,ave maria,36,cincinnati christian,21
2017-08-26,oregon st,27,colorado st,58
2017-08-26,bluefield va,17,cumberland tn,24
2017-08-26,texas southern,7,florida a&m,29
2017-08-26,midamerica nazarene,48,graceland,25
2017-08-26,chattanooga,13,jacksonville st,27
2017-08-26,hastings,31,jamestown,3
2017-08-26,faulkner,63,kentucky christian,8
2017-08-26,st andrews,7,lindsey wilson,43
2017-08-26,missouri baptist,7,lyon,28
2017-08-26,hawai`i,38,massachusetts,35
2017-08-26,coll of idaho,14,montana-western,16
2017-08-26,kansas wesleyan,24,olivet nazarene,31
2017-08-26,avila,14,peru st,31
2017-08-26,bacone,7,robert morris il,22
2017-08-26,south florida,42,san josé st,22
2017-08-26,morningside,41,st francis il,24
2017-08-26,trinity bible,0,st mary ks,49
2017-08-26,rice,7,stanford,62
2017-08-26,southeastern fl,62,union ky,21
2017-08-26,briar cliff,26,waldorf,62
2017-08-26,point u.,10,webber int'l,7
2017-08-30,nw oklahoma st,28,ouachita baptist,31
2017-08-31,mckendree,2,angelo st,42
2017-08-31,new mexico st,31,arizona st,37
2017-08-31,florida a&m,7,arkansas,49
2017-08-31,southern arkansas,21,arkansas tech,28
2017-08-31,millsaps,37,belhaven,42
2017-08-31,mayville st,27,buena vista,31
2017-08-31,ohio dominican,34,california pa,36
2017-08-31,methodist,0,campbell,70
2017-08-31,pikeville,7,carson-newman,48
2017-08-31,st augustine's,0,catawba,49
2017-08-31,florida int'l,17,central florida,61
2017-08-31,rhode island,27,central michigan,30
2017-08-31,pittsburg st,23,central missouri,28
2017-08-31,lindenwood,14,central oklahoma,35
2017-08-31,austin peay,14,cincinnati,26
2017-08-31,mississippi college,29,clark atlanta,32
2017-08-31,alfred st,7,coast guard,34
2017-08-31,western st co,23,colorado mesa,49
2017-08-31,colorado mines,7,colorado st-pueblo,38
2017-08-31,wv wesleyan,23,concord,18
2017-08-31,minot st,0,concordia-st paul,24
2017-08-31,holy cross,20,connecticut,27
2017-08-31,concordia mi,25,davenport,6
2017-08-31,delaware st,3,delaware,22
2017-08-31,wesley,19,delaware valley,24
2017-08-31,sw baptist,21,eastern new mexico,23
2017-08-31,east stroudsburg,20,fairmont st,16
2017-08-31,stevenson,7,frostburg st,33
2017-08-31,tennessee st,17,georgia st,10
2017-08-31,virginia-wise,41,glenville st,29
2017-08-31,henderson st,28,harding,20
2017-08-31,sacramento st,6,idaho,28
2017-08-31,western oregon,6,idaho st,37
2017-08-31,ohio state,49,indiana,21
2017-08-31,ashland,23,indiana pa,26
2017-08-31,eastern illinois,22,indiana st,20
2017-08-31,grand valley st,20,indianapolis,24
2017-08-31,moravian,27,king's pa,30
2017-08-31,west alabama,46,lenoir-rhyne,7
2017-08-31,minn st-mankato,35,mary,7
2017-08-31,louisiana-monroe,29,memphis,37
2017-08-31,jacksonville fl,7,mercer,48
2017-08-31,truman st,14,michigan tech,38
2017-08-31,quincy,6,midwestern st,53
2017-08-31,greenville,3,millikin,76
2017-08-31,buffalo,7,minnesota,17
2017-08-31,upper iowa,44,minnesota-crookston,7
2017-08-31,sioux falls,26,minnesota-duluth,7
2017-08-31,fort hays st,48,missouri southern,7
2017-08-31,carroll mt,28,montana tech,45
2017-08-31,kentucky christian,14,morehead st,56
2017-08-31,kentucky wesleyan,7,murray st,67
2017-08-31,missouri western,3,nebraska-kearney,14
2017-08-31,maine,23,new hampshire,24
2017-08-31,dixie st,22,new mexico highlands,23
2017-08-31,mcneese st,35,nicholls st,37
2017-08-31,tusculum,33,north greenville,34
2017-08-31,washburn,31,northeastern st ok,7
2017-08-31,wayne st ne,16,northern st sd,23
2017-08-31,emporia st,0,nw missouri st,34
2017-08-31,mcmurry,0,ok panhandle st,10
2017-08-31,tulsa,24,oklahoma st,59
2017-08-31,kennesaw st,23,samford,28
2017-08-31,duquesne,13,south dakota st,51
2017-08-31,se oklahoma st,58,southern nazarene,0
2017-08-31,marian in,27,st xavier,32
2017-08-31,st cloud st,41,sw minnesota st,26
2017-08-31,western illinois,41,tennessee tech,14
2017-08-31,clarion,0,tennessee-martin,36
2017-08-31,allegheny,38,thiel,6
2017-08-31,findlay,28,tiffin,13
2017-08-31,elon,13,toledo,47
2017-08-31,manchester,12,trine,35
2017-08-31,winston-salem st,34,unc-pembroke,31
2017-08-31,north dakota,16,utah,37
2017-08-31,st anselm,7,wagner,37
2017-08-31,presbyterian,7,wake forest,51
2017-08-31,bentley,9,west chester,51
2017-08-31,fort valley st,9,west georgia,34
2017-08-31,urbana,21,west liberty,24
2017-08-31,south dakota tech,42,william jewell,27
2017-08-31,bemidji st,20,winona st,30
2017-09-01,salisbury,35,albright,38
2017-09-01,fordham,6,army,64
2017-09-01,mit,28,becker,0
2017-09-01,gettysburg,24,bridgewater va,27
2017-09-01,colorado st,3,colorado,17
2017-09-01,fitchburg st,30,curry,33
2017-09-01,unc-charlotte,7,eastern michigan,24
2017-09-01,navy,42,florida atlantic,19
2017-09-01,fdu-florham,38,new jersey,24
2017-09-01,westfield st,13,nichols,19
2017-09-01,tamu-commerce,8,north alabama,7
2017-09-01,boston college,23,northern illinois,20
2017-09-01,washington,30,rutgers,14
2017-09-01,richmond,34,sam houston st,48
2017-09-01,central conn st,7,syracuse,50
2017-09-01,mount ida,12,umass-dartmouth,10
2017-09-01,johns hopkins,32,washington and lee,29
2017-09-01,utah st,10,wisconsin,59
2017-09-01,anna maria,0,wpi,48
2017-09-02,ohio northern,35,adrian,31
2017-09-02,vmi,0,air force,62
2017-09-02,florida st,7,alabama,24
2017-09-02,tuskegee,14,alabama st,6
2017-09-02,alabama a&m,7,alabama-birmingham,38
2017-09-02,valdosta st,12,albany st ga,29
