Date,Away Team,Away Score,Home Team,Home Score
2017-09-02,miles,21,alcorn st,50
2017-09-02,saginaw valley st,42,alderson broaddus,24
2017-09-02,north park,33,anderson,7
2017-09-02,greensboro,7,apprentice,39
2017-09-02,northern arizona,24,arizona,62
2017-09-02,simon fraser,28,arizona christian,34
2017-09-02,sw oklahoma st,20,arkansas-monticello,19
2017-09-02,morehouse,10,arkansas-pine bluff,23
2017-09-02,georgia southern,7,auburn,41
2017-09-02,northwestern mn,7,augsburg,42
2017-09-02,minn st-moorhead,38,augustana sd,7
2017-09-02,carthage,24,aurora,0
2017-09-02,union ky,55,ave maria,28
2017-09-02,austin,31,bacone,18
2017-09-02,liberty,48,baylor,45
2017-09-02,lake forest,37,beloit,27
2017-09-02,livingstone,15,benedict,28
2017-09-02,wheaton,57,benedictine il,14
2017-09-02,evangel,10,benedictine ks,37
2017-09-02,briar cliff,23,bethany ks,36
2017-09-02,dordt,44,bethel ks,10
2017-09-02,dubuque,32,bethel mn,26
2017-09-02,adams st,41,black hills st,47
2017-09-02,stonehill,44,bloomsburg,28
2017-09-02,troy,13,boise st,24
2017-09-02,merrimack,41,bryant,49
2017-09-02,marist,6,bucknell,45
2017-09-02,bridgewater st ma,19,buffalo st,20
2017-09-02,mt st joseph,38,capital,21
2017-09-02,macalester,31,carleton,20
2017-09-02,whitworth,56,central ia,13
2017-09-02,elizabeth city st,34,central st oh,23
2017-09-02,lincoln pa,28,cheyney,56
2017-09-02,case western reserve,34,chicago,14
2017-09-02,fayetteville st,24,chowan,21
2017-09-02,reinhardt,53,cincinnati christian,7
2017-09-02,kent st,3,clemson,56
2017-09-02,massachusetts,28,coastal carolina,38
2017-09-02,finlandia,6,concordia wi,42
2017-09-02,iowa wesleyan,25,cornell ia,62
2017-09-02,augustana il,32,cortland st,34
2017-09-02,hamline,51,crown,0
2017-09-02,cumberland tn,42,cumberlands ky,40
2017-09-02,brevard,7,davidson,30
2017-09-02,baldwin wallace,42,defiance,2
2017-09-02,tarleton st,16,delta st,34
2017-09-02,southwestern tx,31,denison,49
2017-09-02,south dakota,77,drake,7
2017-09-02,north carolina central,7,duke,60
2017-09-02,james madison,34,east carolina,14
2017-09-02,limestone,10,east tennessee st,31
2017-09-02,lake erie,3,edinboro,30
2017-09-02,loras,41,elmhurst,9
2017-09-02,ferrum,13,emory & henry,8
2017-09-02,framingham st,41,endicott,10
2017-09-02,knox,28,eureka,21
2017-09-02,georgetown ky,40,faulkner,39
2017-09-02,michigan,33,florida,17
2017-09-02,virginia u-lynchburg,0,florida tech,44
2017-09-02,chadron st,25,fort lewis,19
2017-09-02,incarnate word,0,fresno st,66
2017-09-02,midland u.,29,friends,24
2017-09-02,north carolina a&t,45,gardner-webb,3
2017-09-02,marietta,26,geneva,25
2017-09-02,appalachian st,10,georgia,31
2017-09-02,avila,44,graceland,19
2017-09-02,baker,48,grand view,41
2017-09-02,westminster mo,0,gustavus adolphus,38
2017-09-02,averett,17,hampden-sydney,20
2017-09-02,centre,27,hanover,14
2017-09-02,western conn st,48,hartwick,47
2017-09-02,western carolina,18,hawai`i,41
2017-09-02,lyon,28,hendrix,56
2017-09-02,brockport st,34,hobart,20
2017-09-02,guilford,38,huntingdon al,24
2017-09-02,union ny,7,husson,20
2017-09-02,ball st,21,illinois,24
2017-09-02,rose-hulman,33,illinois college,32
2017-09-02,butler,0,illinois st,45
2017-09-02,uw-whitewater,10,illinois wesleyan,17
2017-09-02,wyoming,3,iowa,24
2017-09-02,northern iowa,24,iowa st,42
2017-09-02,alfred,20,ithaca,17
2017-09-02,st francis in,55,jamestown,7
2017-09-02,uw-oshkosh,23,john carroll,17
2017-09-02,wingate,38,johnson c. smith,18
2017-09-02,grove city,31,juniata,42
2017-09-02,se missouri st,16,kansas,38
2017-09-02,central arkansas,19,kansas st,55
2017-09-02,concordia ne,13,kansas wesleyan,28
2017-09-02,slippery rock,42,kentucky st,21
2017-09-02,assumption,31,kutztown,28
2017-09-02,puget sound,25,la verne,33
2017-09-02,birmingham-southern,29,lagrange,25
2017-09-02,carroll wi,29,lakeland,43
2017-09-02,lincoln mo,14,langston,30
2017-09-02,presentation,40,lawrence,10
2017-09-02,franklin & marshall,48,lebanon valley,7
2017-09-02,villanova,38,lehigh,35
2017-09-02,olivet nazarene,39,lindenwood-belleville,14
2017-09-02,virginia union,13,liu post,42
2017-09-02,se louisiana,48,louisiana-lafayette,51
2017-09-02,wayland baptist,20,louisiana college,59
2017-09-02,northwestern st,24,louisiana tech,52
2017-09-02,brigham young,0,lsu,27
2017-09-02,rockford,18,macmurray,22
2017-09-02,miami oh,26,marshall,31
2017-09-02,berry,30,maryville tn,24
2017-09-02,catholic,10,mcdaniel,30
2017-09-02,texas wesleyan,14,mcpherson,43
2017-09-02,misericordia,35,merchant marine,56
2017-09-02,hillsdale,19,mercyhurst,11
2017-09-02,bethune-cookman,13,miami fl,41
2017-09-02,bowling green,10,michigan st,35
2017-09-02,culver-stockton,13,midamerica nazarene,52
2017-09-02,vanderbilt,28,middle tennessee st,6
2017-09-02,martin luther,14,minnesota-morris,7
2017-09-02,south alabama,27,mississippi,47
2017-09-02,charleston southern,0,mississippi st,49
2017-09-02,missouri st,43,missouri,72
2017-09-02,west florida,20,missouri s&t,16
2017-09-02,william penn,27,missouri valley,21
2017-09-02,hope,20,monmouth il,27
2017-09-02,lafayette,12,monmouth nj,31
2017-09-02,valparaiso,23,montana,45
2017-09-02,norwich,20,morrisville st,34
2017-09-02,north carolina wesleyan,0,mount union,58
2017-09-02,wilkes,19,muhlenberg,62
2017-09-02,waynesburg,0,muskingum,19
2017-09-02,arkansas st,36,nebraska,43
2017-09-02,concordia-moorhead,34,nebraska wesleyan,14
2017-09-02,abilene christian,14,new mexico,38
2017-09-02,virginia st,14,norfolk st,10
2017-09-02,california,35,north carolina,30
2017-09-02,robert morris il,31,north central,33
2017-09-02,mississippi valley st,7,north dakota st,72
2017-09-02,lamar,14,north texas,59
2017-09-02,coll of idaho,14,northern colorado,41
2017-09-02,nevada,20,northwestern,31
2017-09-02,temple,16,notre dame,49
2017-09-02,kalamazoo,6,oberlin,24
2017-09-02,hampton,0,ohio u.,59
2017-09-02,otterbein,36,ohio wesleyan,15
2017-09-02,utep,7,oklahoma,56
2017-09-02,east central ok,55,oklahoma baptist,34
2017-09-02,albany ny,17,old dominion,31
2017-09-02,heidelberg,40,olivet,24
2017-09-02,southern utah,21,oregon,77
2017-09-02,portland st,32,oregon st,35
2017-09-02,northwestern ia,41,ottawa,16
2017-09-02,millersville,20,pace,28
2017-09-02,akron,0,penn state,52
2017-09-02,central methodist,20,peru st,40
2017-09-02,youngstown st,21,pittsburgh,28
2017-09-02,castleton,7,plymouth st,31
2017-09-02,campbellsville,51,point u.,33
2017-09-02,louisville,35,purdue,28
2017-09-02,dickinson,6,randolph-macon,41
2017-09-02,trinity tx,7,redlands,32
2017-09-02,concordia il,28,ripon,20
2017-09-02,dayton,10,robert morris pa,13
2017-09-02,montana st-northern,25,rocky mountain,32
2017-09-02,widener,0,rowan,6
2017-09-02,william paterson,0,rpi,45
2017-09-02,stetson,3,sacred heart,42
2017-09-02,worcester st,28,salve regina,35
2017-09-02,western new mexico,20,san diego,34
2017-09-02,uc-davis,17,san diego st,38
2017-09-02,cal poly slo,13,san josé st,34
2017-09-02,bowie st,48,seton hill,7
2017-09-02,kenyon,20,sewanee,45
2017-09-02,new haven,31,shaw,20
2017-09-02,gallaudet,14,shenandoah,40
2017-09-02,notre dame oh,49,shepherd,54
2017-09-02,american int'l,7,shippensburg,41
2017-09-02,mars hill,40,shorter,14
2017-09-02,northwood,38,siena heights,7
2017-09-02,uw-stout,17,simpson,0
2017-09-02,stephen f. austin,14,smu,58
2017-09-02,north carolina st,28,south carolina,35
2017-09-02,stony brook,17,south florida,31
2017-09-02,bethel tn,13,southeastern fl,62
2017-09-02,western michigan,31,southern cal,49
2017-09-02,gannon,55,southern conn st,22
2017-09-02,kentucky,24,southern miss,17
2017-09-02,eastern oregon,21,southern oregon,31
2017-09-02,christopher newport,45,southern virginia,17
2017-09-02,hastings,52,southwestern ks,35
2017-09-02,dakota st,24,st ambrose,27
2017-09-02,lock haven,3,st francis pa,69
2017-09-02,st scholastica,0,st john's mn,98
2017-09-02,dakota wesleyan,60,st mary ks,14
2017-09-02,grinnell,13,st olaf,56
2017-09-02,uw-eau claire,13,st thomas,47
2017-09-02,alma,40,st vincent,34
2017-09-02,doane,34,sterling,28
2017-09-02,maine maritime,13,suny-maritime,59
2017-09-02,lycoming,6,susquehanna,7
2017-09-02,howard payne,34,sw assem of god,63
2017-09-02,morningside,65,tabor,14
2017-09-02,central washington,34,tamu-kingsville,10
2017-09-02,malone,21,taylor,28
2017-09-02,jackson st,0,tcu,63
2017-09-02,maryland,51,texas,41
2017-09-02,lane,40,texas college,20
2017-09-02,houston baptist,11,texas st-san marcos,20
2017-09-02,eastern washington,10,texas tech,56
2017-09-02,sul ross st,47,texas-permian basin,22
2017-09-02,newberry,14,the citadel,31
2017-09-02,franklin,37,thomas more,47
2017-09-02,morgan st,0,towson,10
2017-09-02,grambling st,14,tulane,43
2017-09-02,howard,43,unlv,40
2017-09-02,bethany wv,13,ursinus,35
2017-09-02,st lawrence,7,utica,20
2017-09-02,luther,7,uw-la crosse,27
2017-09-02,george fox,28,uw-platteville,30
2017-09-02,coe,13,uw-river falls,9
2017-09-02,st norbert,33,uw-stevens point,34
2017-09-02,dickinson st,30,valley city st,21
2017-09-02,william & mary,10,virginia,28
2017-09-02,albion,26,wabash,35
2017-09-02,wayne st mi,28,walsh,9
2017-09-02,lindsey wilson,47,warner u.,3
2017-09-02,st john fisher,27,wash & jeff,37
2017-09-02,carnegie mellon,28,washington mo,7
2017-09-02,montana st,0,washington st,31
2017-09-02,st andrews,0,webber int'l,3
2017-09-02,montana-western,0,weber st,76
2017-09-02,azusa pacific,24,west texas a&m,13
2017-09-02,charleston wv,28,west virginia st,51
2017-09-02,eastern kentucky,17,western kentucky,31
2017-09-02,springfield,35,western new england,21
2017-09-02,wittenberg,20,westminster pa,14
2017-09-02,rhodes,45,willamette,42
2017-09-02,earlham,20,wilmington,49
2017-09-02,trinity int'l,58,wisconsin lutheran,21
2017-09-02,furman,23,wofford,24
2017-09-02,bluffton,21,wooster,45
2017-09-03,south carolina st,8,southern u.,14
2017-09-03,texas a&m,44,ucla,45
2017-09-03,virginia tech,31,west virginia,24
2017-09-04,tennessee,42,georgia tech,41
2017-09-07,concord,0,charleston wv,27
2017-09-07,nebraska-kearney,13,emporia st,45
2017-09-07,central missouri,6,fort hays st,35
2017-09-07,northeastern st ok,10,lindenwood,49
2017-09-07,sw minnesota st,51,minn st-moorhead,35
2017-09-07,missouri southern,7,missouri western,45
2017-09-07,sam houston st,44,prairie view a&m,31
2017-09-07,west alabama,41,samford,49
2017-09-07,houston baptist,24,texas southern,17
2017-09-07,idaho st,13,utah st,51
2017-09-07,west virginia st,24,virginia-wise,34
2017-09-07,nw missouri st,20,washburn,14
2017-09-08,florida int'l,17,alcorn st,10
2017-09-08,nichols,28,anna maria,21
2017-09-08,pace,0,assumption,56
2017-09-08,st anselm,14,bentley,50
2017-09-08,webber int'l,24,cumberland tn,38
2017-09-08,delaware st,15,hampton,28
2017-09-08,suny-maritime,37,mass maritime,32
2017-09-08,curry,15,mit,7
2017-09-08,ohio u.,21,purdue,44
2017-09-08,oklahoma st,44,south alabama,7
2017-09-08,western new england,38,westfield st,6
2017-09-08,becker,7,worcester st,36
2017-09-09,western st co,14,adams st,51
2017-09-09,arkansas-pine bluff,3,akron,52
2017-09-09,fresno st,10,alabama,41
2017-09-09,uw-stevens point,33,albion,19
2017-09-09,hartwick,45,alfred st,0
2017-09-09,wooster,49,allegheny,35
2017-09-09,manchester,33,alma,31
2017-09-09,merrimack,31,american int'l,21
2017-09-09,northern michigan,20,angelo st,48
2017-09-09,savannah st,7,appalachian st,54
2017-09-09,houston,19,arizona,16
2017-09-09,san diego st,30,arizona st,20
2017-09-09,tcu,28,arkansas,7
2017-09-09,buffalo,17,army,21
2017-09-09,ohio dominican,21,ashland,47
2017-09-09,concordia wi,16,augsburg,38
2017-09-09,wayland baptist,12,austin,34
2017-09-09,randolph-macon,17,averett,13
2017-09-09,benedictine ks,72,avila,14
2017-09-09,humboldt st,30,azusa pacific,19
2017-09-09,arizona christian,35,bacone,7
2017-09-09,alabama-birmingham,31,ball st,51
2017-09-09,texas-san antonio,17,baylor,10
2017-09-09,concordia-st paul,17,bemidji st,54
2017-09-09,lagrange,14,berry,28
2017-09-09,geneva,34,bethany wv,13
2017-09-09,cumberlands ky,20,bethel tn,19
2017-09-09,huntingdon al,45,birmingham-southern,38
2017-09-09,fort lewis,17,black hills st,13
2017-09-09,edward waters,0,bluefield va,19
2017-09-09,trine,55,bluffton,14
2017-09-09,wake forest,34,boston college,10
2017-09-09,south dakota,35,bowling green,27
2017-09-09,emory & henry,48,brevard,13
2017-09-09,dakota st,49,briar cliff,33
2017-09-09,endicott,29,bridgewater st ma,28
2017-09-09,utah,19,brigham young,13
2017-09-09,ithaca,0,brockport st,31
2017-09-09,holy cross,20,bucknell,0
2017-09-09,pacific lutheran,21,cal lutheran,27
2017-09-09,weber st,20,california,33
2017-09-09,cheyney,14,california pa,54
2017-09-09,georgetown dc,16,campbell,10
2017-09-09,rochester,14,carnegie mellon,42
2017-09-09,rocky mountain,40,carroll mt,14
2017-09-09,st augustine's,14,carson-newman,41
2017-09-09,bethel mn,0,carthage,31
2017-09-09,fitchburg st,31,castleton,10
2017-09-09,utica,10,catholic,16
2017-09-09,fordham,38,central conn st,31
2017-09-09,augustana il,22,central ia,33
2017-09-09,grand view,59,central methodist,7
2017-09-09,western oregon,23,central washington,30
2017-09-09,anderson,10,centre,61
2017-09-09,colorado mesa,24,chadron st,10
2017-09-09,linfield,27,chapman,12
2017-09-09,hampden-sydney,7,christopher newport,20
2017-09-09,bloomsburg,29,clarion,20
2017-09-09,central st oh,14,clark atlanta,55
2017-09-09,auburn,6,clemson,14
2017-09-09,cornell ia,21,coe,59
2017-09-09,richmond,20,colgate,17
2017-09-09,southern oregon,41,coll of idaho,25
2017-09-09,texas st-san marcos,3,colorado,37
2017-09-09,new mexico highlands,0,colorado mines,70
2017-09-09,abilene christian,10,colorado st,38
2017-09-09,ottawa,6,concordia ne,24
2017-09-09,uw-whitewater,17,concordia-moorhead,25
2017-09-09,baker,67,culver-stockton,7
2017-09-09,jamestown,12,dakota wesleyan,49
2017-09-09,se missouri st,23,dayton,25
2017-09-09,husson,44,dean,12
2017-09-09,chowan,13,delta st,42
2017-09-09,muhlenberg,25,dickinson,6
2017-09-09,friends,13,doane,28
2017-09-09,waldorf,14,dordt,59
2017-09-09,southwestern ks,14,drake,55
2017-09-09,pacific or,13,dubuque,37
2017-09-09,northwestern,17,duke,41
2017-09-09,southern nazarene,33,east central ok,30
2017-09-09,north dakota st,40,eastern washington,13
2017-09-09,lock haven,3,edinboro,20
2017-09-09,unc-pembroke,66,elizabeth city st,14
2017-09-09,olivet,26,elmhurst,20
2017-09-09,peru st,19,evangel,21
2017-09-09,reinhardt,54,faulkner,31
2017-09-09,wingate,31,fayetteville st,21
2017-09-09,apprentice,20,ferrum,40
2017-09-09,ferris st,48,findlay,27
2017-09-09,lawrence,27,finlandia,22
2017-09-09,cortland st,14,framingham st,29
2017-09-09,butler,43,franklin,24
2017-09-09,juniata,7,franklin & marshall,52
2017-09-09,new jersey,14,frostburg st,49
2017-09-09,elon,34,furman,31
2017-09-09,greensboro,23,gallaudet,21
2017-09-09,shippensburg,41,gannon,33
2017-09-09,new hampshire,22,georgia southern,12
2017-09-09,jacksonville st,10,georgia tech,37
2017-09-09,ursinus,35,gettysburg,28
2017-09-09,northwestern st,10,grambling st,23
2017-09-09,davenport,0,grand valley st,48
2017-09-09,st scholastica,47,greenville,27
2017-09-09,wash & jeff,47,grove city,7
2017-09-09,texas college,0,hardin-simmons,74
2017-09-09,valley city st,9,hastings,47
2017-09-09,arkansas tech,26,henderson st,3
2017-09-09,texas lutheran,28,hendrix,38
2017-09-09,michigan tech,27,hillsdale,31
2017-09-09,earlham,41,hiram,63
2017-09-09,st john fisher,3,hobart,31
2017-09-09,defiance,0,hope,38
2017-09-09,unlv,44,idaho,16
2017-09-09,western kentucky,7,illinois,20
2017-09-09,nebraska wesleyan,21,illinois wesleyan,42
2017-09-09,east stroudsburg,14,indiana pa,38
2017-09-09,iowa,44,iowa st,41
2017-09-09,crown,34,iowa wesleyan,41
2017-09-09,tennessee st,17,jackson st,15
2017-09-09,east tennessee st,10,james madison,52
2017-09-09,susquehanna,34,johns hopkins,38
2017-09-09,virginia st,44,johnson c. smith,6
2017-09-09,wheaton,58,kalamazoo,6
2017-09-09,central michigan,45,kansas,27
2017-09-09,unc-charlotte,7,kansas st,55
2017-09-09,tennessee tech,14,kennesaw st,27
2017-09-09,howard,31,kent st,38
2017-09-09,eastern kentucky,16,kentucky,27
2017-09-09,union ky,43,kentucky christian,14
2017-09-09,livingstone,13,kentucky wesleyan,33
2017-09-09,beloit,17,knox,35
2017-09-09,sacred heart,38,lafayette,24
2017-09-09,tiffin,58,lake erie,7
2017-09-09,carleton,46,lake forest,48
2017-09-09,texas-permian basin,6,lamar,72
2017-09-09,north greenville,10,lenoir-rhyne,22
2017-09-09,claremont-mudd-scripps,37,lewis & clark or,16
2017-09-09,morehead st,17,liberty,58
2017-09-09,benedict,17,limestone,20
2017-09-09,lincoln pa,19,lincoln mo,49
2017-09-09,aurora,31,loras,26
2017-09-09,mississippi st,57,louisiana tech,21
2017-09-09,chattanooga,10,lsu,45
2017-09-09,st olaf,20,luther,44
2017-09-09,delaware valley,34,lycoming,3
2017-09-09,langston,41,lyon,14
2017-09-09,hamline,14,macalester,23
2017-09-09,martin luther,28,macmurray,54
2017-09-09,bryant,12,maine,60
2017-09-09,robert morris il,28,marian in,49
2017-09-09,stetson,17,marist,38
2017-09-09,sul ross st,7,mary hardin-baylor,23
2017-09-09,towson,17,maryland,63
2017-09-09,hanover,20,maryville tn,24
2017-09-09,old dominion,17,massachusetts,7
2017-09-09,sterling,44,mayville st,40
2017-09-09,kentucky st,0,mckendree,50
2017-09-09,florida tech,21,mcneese st,42
2017-09-09,wofford,28,mercer,27
2017-09-09,kutztown,21,mercyhurst,16
2017-09-09,guilford,56,methodist,17
2017-09-09,austin peay,10,miami oh,31
2017-09-09,cincinnati,14,michigan,36
2017-09-09,western michigan,14,michigan st,28
2017-09-09,north park,14,midland u.,24
2017-09-09,minnesota-crookston,19,minn st-mankato,56
2017-09-09,augustana sd,28,minot st,20
2017-09-09,albright,50,misericordia,17
2017-09-09,tennessee-martin,23,mississippi,45
2017-09-09,south carolina,31,missouri,13
2017-09-09,st xavier,48,missouri baptist,13
2017-09-09,northwood,47,missouri s&t,34
2017-09-09,graceland,13,missouri valley,45
2017-09-09,lehigh,27,monmouth nj,46
2017-09-09,south dakota st,31,montana st,27
2017-09-09,montana tech,70,montana st-northern,27
2017-09-09,mcdaniel,35,moravian,14
2017-09-09,lane,10,morehouse,24
2017-09-09,albany ny,26,morgan st,0
2017-09-09,truman st,30,morningside,35
2017-09-09,plymouth st,27,mount ida,0
2017-09-09,depauw,41,mt st joseph,30
2017-09-09,central arkansas,41,murray st,13
2017-09-09,tulane,21,navy,23
2017-09-09,toledo,37,nevada,24
2017-09-09,liu post,35,new haven,34
2017-09-09,new mexico st,30,new mexico,28
2017-09-09,william & mary,20,norfolk st,6
2017-09-09,louisville,47,north carolina,35
2017-09-09,mars hill,0,north carolina a&t,56
2017-09-09,shaw,0,north carolina central,41
2017-09-09,marshall,20,north carolina st,37
2017-09-09,shenandoah,61,north carolina wesleyan,14
2017-09-09,missouri st,0,north dakota,34
2017-09-09,western illinois,38,northern arizona,20
2017-09-09,eastern illinois,10,northern illinois,38
2017-09-09,cal poly slo,38,northern iowa,45
2017-09-09,dickinson st,3,northwestern ia,37
2017-09-09,eureka,13,northwestern mn,19
2017-09-09,st lawrence,17,norwich,10
2017-09-09,georgia,20,notre dame,19
2017-09-09,glenville st,10,notre dame oh,35
2017-09-09,arkansas-monticello,37,nw oklahoma st,35
2017-09-09,kenyon,10,oberlin,31
2017-09-09,oklahoma,31,ohio state,16
2017-09-09,nebraska,35,oregon,42
2017-09-09,minnesota,48,oregon st,14
2017-09-09,muskingum,27,otterbein,41
2017-09-09,pittsburgh,14,penn state,33
2017-09-09,central oklahoma,28,pittsburg st,31
2017-09-09,the citadel,48,presbyterian,7
2017-09-09,occidental,6,puget sound,61
2017-09-09,alderson broaddus,21,quincy,50
2017-09-09,stony brook,35,rhode island,18
2017-09-09,pomona-pitzer,38,rhodes,31
2017-09-09,uw-la crosse,45,ripon,14
2017-09-09,millikin,28,rose-hulman,26
2017-09-09,southern virginia,19,rowan,28
2017-09-09,eastern michigan,16,rutgers,13
2017-09-09,incarnate word,22,sacramento st,56
2017-09-09,walsh,0,saginaw valley st,28
2017-09-09,william paterson,7,salisbury,63
2017-09-09,montclair st,20,salve regina,26
2017-09-09,bethune-cookman,28,se louisiana,23
2017-09-09,oklahoma baptist,17,se oklahoma st,21
2017-09-09,millersville,45,seton hill,38
2017-09-09,olivet nazarene,20,siena heights,11
2017-09-09,tamu-kingsville,35,simon fraser,7
2017-09-09,illinois college,13,simpson,45
2017-09-09,northern st sd,7,sioux falls,37
2017-09-09,west chester,42,slippery rock,49
2017-09-09,north texas,32,smu,54
2017-09-09,dixie st,14,south dakota tech,35
